FILTRO FILA,,,,,,,,,,,,,,,,,
,Cebolla,Verdura,25,625,Ml,"1,41",,,,Cebolla,Verdura,30,750,Ml,"1,69",,
,Calabacín,Verdura,30,750,Gr,"1,20",,,,Garam Massala,Sin asignar,2,50,Gr,"0,90",,
,calabaza,Verdura,40,1000,Gr,"2,30",,,,Yogurt griego,Lacteos,20,500,Gr,"1,15",,
,Col,Verdura,40,1000,GR,"2,12",,,,Comino molido,Sin asignar,"0,8",20,GR,"0,18",,
,Zanahoria,Verdura,30,750,GR,"0,86",,,,Chile en polvo,Sin asignar,"0,8",20,GR,"0,14",,
,Caldo vegetal,Sin asignar,10,250,GR,"1,77",,,,Chiles verdes,No encontrado,"0,25","6,25",GR,,,
,Aceite oliva,Grasa,10,250,,"0,98",,,,Arroz Basmati,H.Carbono,120,3000,,"6,60",,
,Curry,Sin asignar,2,50,,"0,50",,,,guisantes,Verdura,20,500,,"0,83",,
,Curcuma,Sin asignar,2,50,,"0,31",Resumen nutricional,Pax,,Cilantro,Verdura,3,75,,"1,62",Resumen nutricional,Pax
,Comino molido,Sin asignar,5,125,,"1,15",H.Carbono,0,,Patatas,Verdura,50,1250,,"1,64",H.Carbono,120
,Sal,Sin asignar,2,50,,"0,02",Proteina,100,,Aceite girasol,Grasa,5,125,,"0,22",Proteina,100
,Canela,Sin asignar,2,50,,"0,90",Verdura,170,,caldo vegetal,Sin asignar,10,250,,"1,77",Verdura,213
,Pimentón de la vera,Sin asignar,1,25,,"0,31",Total gr plato:,384,,Nata,Lacteos,25,625,,"1,63",Total gr plato:,"496,85"
,Cilantro,Verdura,1,25,,"0,54",Costo por ración,"€1,07",,,,,,,-,Costo por ración,"€1,28"
,Menta,Verdura,1,25,,"0,84",Costo total,"€26,71",,,,,,,-,Costo total,"€32,07"
,Uva pasa,Sin asignar,3,75,,"0,39",,,,Elaboracion,,,,,,,
,Almendra,Sin asignar,3,75,,"0,54",,,,1,,,,,,,
,Mantequilla,Lacteos,10,250,,"2,25",,,,2,,,,,,,
,3,,,,,,,,,3,,,,,,,
,4,,,,,,,,,4,,,,,,,
,5,,,,,,,,,5,,,,,,,
,6,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
