,,,,Carniceria Samir,Star Cash&Carry,Chino centro,Chino cash&carry,Mercadona,Makro,,,,Presentacion,,
Categoria,Subcategoria,Producto,Cat. Nutricional,€/KG,€/KG,€/KG,€/KG,€/KG,€/KG,purchase_price,purchase_format_gr,€/gr,,Proveedor,Ultima actualización
Despensa,Pasta / Arroz,Fideua,H.Carbono,,,,,"€1,60",,"€1,60",1.000,"€0,0016",,Mercadona,25/8/22 0:00
Frescos,Carne,Filetesde vacuno,Proteina,,,,,"17,7",,"€17,70",1.000,"€0,0177",,Makro,24/8/22
Congelados,Verduras congeladas,galanga,Verdura,,,,"7,60 €",,,"€7,60",1.000,"€0,0076",GR,Mercadona,27-8
Despensa,Despensa,Galletas Saladas,Sin asignar,,,,,"€4,75",,"€4,75",1.000,"€0,0048",,Mercadona,20/08/2025
Congelados,Pescado congelado,Gamba arrocera,Proteina,,,,,"€12,95","€7,69","€7,69",1.000,"€0,0077",,Makro,
Congelados,Pescado congelado,Gamba pequeno,Proteina,,,,,"€13,75",,"€13,75",1.000,"€0,0138",,Makro,
Despensa,Especies,Garam Massala,Sin asignar,,"€18,00",,,,,"€18,00",1.000,"€0,0180",Gr,Star Cash&Carry,
Despensa,Legumbres,Garbanzo cocido,Proteina,,,,,"€1,68","1,38","€1,38",1.000,"€0,0014",,Makro,
Despensa,Legumbres,Garbanzos,Proteina,,,,,"€1,90","1,56","€1,56",1.000,"€0,0016",,Makro,
Congelados,Verduras congeladas,Garrofon,Verdura,,,,,"€2,11",,"€2,11",1.000,"€0,0021",GR,Mercadona,
despensa,Vegetariano,Gluten,Proteina,,,,,,,"€0,00",,"€0,0000",,Fruteria,
Asiatico,salsas,Gochujang,Sin asignar,,,,"€5,61",,,"€5,61",1.000,"€0,0056",ML,Chino cash&carry,20/08/2025
Congelados,Verduras congeladas,guisantes,Verdura,,,,,"€1,65",,"€1,65",1.000,"€0,0017",GR,Mercadona,27-8
Congelados,Verduras congeladas,habas,Verdura,,,,,"€2,64","€3,84","€2,64",1.000,"€0,0026",GR,Mercadona,
Frescos,Carne,Hamburguesa,Proteina,"€1,84",,,,"€0,98",,"€0,98",1,"€0,9800",Unidad,Mercadona,25/8/22
Frescos,Carne,Hamburguesa mixto,Proteina,,,,,"€0,75",,"€0,75",1,"€0,7500",Unidad,Mercadona,25/8/22
Despensa,Despensa,Harina,Sin asignar,,,,,"€0,72",,"€0,72",1.000,"€0,0007",,Mercadona,20/08/2025
Despensa,Despensa,Harina de maiz,Sin asignar,,,,,"€3,00",,"€3,00",1.000,"€0,0030",,Mercadona,20/08/2025
Despensa,Especies,Harina garbanzo,Sin asignar,,"€1,40",,,,,"€1,40",1.000,"€0,0014",,Star Cash&Carry,
Congelados,Verduras congeladas,Hoja de lima,Verdura,,,,"19,20 €",,,"€19,20",1.000,"€0,0192",Gr,Mercadona,27-8
Despensa,Lacteos,Huevos,Proteina,,,,,"€0,19",,"€0,19",1,"€0,1900",Unidad,Makro,26/8/22 0:00
Embutido,Embutido,Jamon Pavo,Sin asignar,,,,,"7,3",,"€7,30",1.000,"€0,0073",,,20/08/2025
Embutido,Embutido,Jamon york,Sin asignar,,,,,"4,8",,"€4,80",1.000,"€0,0048",,Makro,20/08/2025
Congelados,Carne congelada,Jamoncitos de pollo,Proteina,,,,,"€3,50",,"€3,50",1.000,"€0,0035",,Makro,27-8
Frescos,Verduras,jengibre,Verdura,,,,,"€8,05",,"€8,05",1.000,"€0,0081",GR,Makro,25/8/22
Despensa,Especies,Jengibre polvo,Sin asignar,,"€10,00",,,,,"€10,00",1.000,"€0,0100",,Star Cash&Carry,
Congelados,Verduras congeladas,Judia verde plana,Verdura,,,,,"€4,60",,"€4,60",1.000,"€0,0046",GR,Mercadona,27-8
Asiatico,varios,Katakuriko,Sin asignar,,,"€2,15",,,,"€2,15",1.000,"€0,0022",,Chino centro,
Despensa,salsas,Ketchup,Sin asignar,,,,,"€1,90",,"€1,90",1.000,"€0,0019",,Makro,20/08/2025
