Carniceria Samir	Star Cash&Carry	Chino centro	Chino cash&carry	Mercadona	Makro			Presentacion		
Categoria	Subcategoria	Producto	Cat. Nutricional	€/KG	€/KG	€/KG	€/KG	€/KG	€/KG	Precio mas bajo	€/gr		Proveedor	Ultima actualización
Despensa	Despensa	Tomate N. Entero	Sin asignar					2,81 €		2,81 €	0,00 €		Makro	20/08/2025
Despensa	Despensa	Vinagre jerez	Sin asignar					8,00 €		8,00 €	0,01 €		Makro	
Despensa	Despensa	Penne rig gate	Sin asignar					1,6		1,60 €	0,00 €		Makro	20/08/2025
Despensa	Despensa	Tomate Triturado	Sin asignar					1,23 €		1,23 €	0,00 €		Makro	20/08/2025
Despensa	Despensa	Azúcar	Sin asignar					1,00 €		1,00 €	0,00 €		Makro	20/08/2025
Despensa	Despensa	Sal	Sin asignar					0,40 €		0,40 €	0,00 €		Makro	20/08/2025
Despensa	Despensa	Miel	Sin asignar					6,1		6,10 €	0,01 €		Makro	20/08/2025
Despensa	Despensa	picatostes	Sin asignar					8,00 €		8,00 €	0,01 €		Makro	20/08/2025
despensa	Despensa	Zumo	Sin asignar							0,00 €	0,00 €		Makro	
despensa	Despensa	Patata bolsa	Sin asignar							0,00 €	0,00 €		Makro	
Despensa	Especies	clavo	Sin asignar						55,20 €	55,20 €	0,06 €	Gr	Makro	
Despensa	Especies	Pimentón de la vera	Sin asignar					26,00 €	12,45 €	12,45 €	0,01 €		Makro	27/8/22 0:00
Despensa	Especies	P. Negra molida	Sin asignar		15,00 €			13,57 €	12,50 €	12,50 €	0,01 €		Makro	27/8/22 0:00
Despensa	Especies	Pimentón dulce	Sin asignar					14,00 €	10,71 €	10,71 €	0,01 €		Makro	27/8/22 0:00
Despensa	Especies	Pimienta negra	Sin asignar		15,00 €			17,14 €	13,90 €	13,90 €	0,01 €	Gr	Makro	27/8/22 0:00
Despensa	Especies	Colorante Alimentario	Sin asignar					6,82 €	3,61 €	3,61 €	0,00 €		Makro	27/8/22 0:00
Despensa	Especies	Ñora	Sin asignar					38,40 €	26,20 €	26,20 €	0,03 €	Gr	Makro	27/8/22 0:00
Despensa	Especies	Laurel	Sin asignar					55,00 €	78,57 €	55,00 €	0,06 €	Gr	Mercadona	
